pack	path	pos	label	from_doc	to_doc	source
ember.adventure.json	entries.Ember Early Access.journals.Ancestries.pages.Ashka.contentGamemaster	0	斯科里斯	Jarn	Scoris	auto
ember.adventure.json	entries.Ember Early Access.journals.Ancestries.pages.Ashka.contentGamemaster	1	贾恩	Scoris	Jarn	auto
ember.adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	0	圣堂区	Veiled Chain	The Hallows	auto
ember.adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	1	帷幕锁链	The Hallows	Veiled Chain	auto
ember.adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	7	无形皮肤	Molted Dragon Skin	Impossible Skin	auto
ember.adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	8	蜕下的龙皮	Impossible Skin	Molted Dragon Skin	auto
ember.adventure.json	entries.Ember Early Access.journals.Arcturel Tradeway.pages.Warehousing.text	1	垃圾场齿轮	The Scrapyard	Junkyard Cogs	auto
ember.adventure.json	entries.Ember Early Access.journals.Arcturel Tradeway.pages.Warehousing.text	2	废料场	Junkyard Cogs	The Scrapyard	auto
ember.adventure.json	entries.Ember Early Access.journals.Arctus Plateau Gazetteer.pages.Corpin Sanctuary.text	0	奥尔丹	Wedgelands	Ordain Gazetteer	auto
ember.adventure.json	entries.Ember Early Access.journals.Arctus Plateau Gazetteer.pages.Corpin Sanctuary.text	1	楔地	Ordain Gazetteer	Wedgelands	auto
ember.adventure.json	entries.Ember Early Access.journals.Bestiary.pages.Leviathans.text	1	奥布里西尔	Shard Gods	Obrisire	auto
ember.adventure.json	entries.Ember Early Access.journals.Bestiary.pages.Leviathans.text	2	碎片诸神	Obrisire	Shard Gods	auto
ember.adventure.json	entries.Ember Early Access.journals.Chapter 2 Events.pages.Corrupted Depths.text	0	雾缚洞窟	Lake of Whispers	Fogbound Caverns	auto
ember.adventure.json	entries.Ember Early Access.journals.Chapter 2 Events.pages.Corrupted Depths.text	1	低语之湖	Fogbound Caverns	Lake of Whispers	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	21	艾迪尔	Lorai	Aedir	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	22	洛莱	Nalvani	Lorai	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	23	纳尔瓦尼	Aedir	Nalvani	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	24	阿卡泽娅	Maziran	Akazea	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	25	马兹兰	Akazea	Maziran	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	8	普里莫迪斯	Casia	Primordis	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	9	Casia	Primordis	Casia	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	12	西格纳拉	Daemos	Signara	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	13	戴莫斯	Signara	Daemos	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	2	低地堡垒	Waerd	Lowlands	manual
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	3	瓦尔德	Lowlands	Waerd	manual
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	4	奥肯加德	Oaken	Oakengarde	manual
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	5	奥肯	Oakengarde	Oaken	manual
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Paladin.text	10	辛达里克贤者	Burnished Hand	Cindaric Sages	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Paladin.text	11	辉手	Cindaric Sages	Burnished Hand	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	14	血林	Sanguinaries	Bloodwoods	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	15	赤血会	Bloodwoods	Sanguinaries	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	16	辉核森林	Strider	Corebright Forest	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	17	疾行者	Corebright Forest	Strider	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	22	冰霜飘流	Fikost	Rimedrift	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	23	菲科斯特	Rimedrift	Fikost	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Sorcerer.text	20	血林	Sanguinaries	Bloodwoods	auto
ember.adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Sorcerer.text	21	赤血会	Bloodwoods	Sanguinaries	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Sea of Stars.contentGamemaster	6	里凡	Star Mages	Rhivan	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Sea of Stars.contentGamemaster	7	星辰法师	Rhivan	Star Mages	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.contentGamemaster	2	里凡	Star Mages	Rhivan	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.contentGamemaster	3	星辰法师	Rhivan	Star Mages	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.text	3	维恩阿薇	Elder Gods	Ven'avé	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.text	4	上古女神	Ven'avé	Elder Gods	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Wildsong.text	5	奥尔丹	Cindaric Sages	Ordain	auto
ember.adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Wildsong.text	6	辛达里克贤者	Ordain	Cindaric Sages	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.contentGamemaster	8	艾迪尔	Theroch	Aedir	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.contentGamemaster	9	Theroch	Aedir	Theroch	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.text	3	里凡	Star Mages	Rhivan	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.text	4	星辰法师	Rhivan	Star Mages	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	0	寰宇	Elder Gods	Cosmos	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	1	上古之神	Cosmos	Elder Gods	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	2	阿肯	Wyrms	Akon	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	3	巨龙	Akon	Wyrms	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	9	卢克萨鲁姆	Celestials	Luxarum	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	10	天界生物	Luxarum	Celestials	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Kinalathi.contentGamemaster	0	深渊裂斩	Outer Gods	Abyssal Shear	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Kinalathi.contentGamemaster	2	外神	Abyssal Shear	Outer Gods	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Ravela.text	6	骸骨领	Lumek	Ossarchate	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Ravela.text	7	卢梅克	Ossarchate	Lumek	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	7	里瓦	Star Academy	Rhivan	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	9	星辰学院	Rhivan	Star Academy	auto
