JSON Path,Status,Involved Terms,Original,Translation
root.entries.Menace Under Otari.scenes.Floor 1.notes.02. Drop into Darkness,🆗 保留,02. Drop into Darkness->02. 深入黑暗,02. Drop into Darkness,02. 深入黑暗
root.entries.Menace Under Otari.name,⚠️ 修正,Menace Under Otari->奥塔里地下的威胁,Menace Under Otari,奥塔里地下的威胁
root.entries.Pirate King's Plunder.folders.Pirate King's Plunder,⚠️ 修正,Pirate King's Plunder->海贼王的财宝,Pirate King's Plunder,海盗王的财宝
root.entries.Menace Under Otari.scenes.Floor 1.notes.03. The Spider's Web,🆗 保留,03. The Spider's Web->03. 蛛网,03. The Spider's Web,03. 蛛网
root.entries.Menace Under Otari.scenes.Floor 1.notes.04. The Barricade,🆗 保留,04. The Barricade->04. 路障,04. The Barricade,04. 路障
root.entries.Menace Under Otari.scenes.Floor 1.notes.05. Forgotten Crypt,🆗 保留,05. Forgotten Crypt->05. 被遗忘的墓穴,05. Forgotten Crypt,05. 被遗忘的墓穴
root.entries.Menace Under Otari.scenes.Floor 1.notes.07. Abandoned Storeroom,🆗 保留,07. Abandoned Storeroom->07. 废弃储藏室,07. Abandoned Storeroom,07. 废弃储藏室
root.entries.Menace Under Otari.scenes.Floor 1.notes.06. Forgotten Shrine,🆗 保留,06. Forgotten Shrine->06. 被遗忘的神龛,06. Forgotten Shrine,06. 被遗忘的神龛
root.entries.Menace Under Otari.scenes.Floor 1.notes.08. Trapped Hallway,🆗 保留,08. Trapped Hallway->08. 陷阱走廊,08. Trapped Hallway,08. 陷阱走廊
root.entries.Menace Under Otari.scenes.Floor 1.notes.11. Kobolds and Traps,🆗 保留,11. Kobolds and Traps->11. 狗头人和陷阱,11. Kobolds and Traps,11. 狗头人和陷阱
root.entries.Pirate King's Plunder.journals.Introduction.pages.Scratch Paper.name,⚠️ 修正,Scratch Paper->草稿纸,Scratch Paper,草稿纸
root.entries.Menace Under Otari.scenes.Floor 1.notes.09. Gold Puzzle,🆗 保留,09. Gold Puzzle->09. 金币谜题,09. Gold Puzzle,09. 金币谜题
root.entries.Menace Under Otari.scenes.Floor 2.notes.13. Soggy Crossroads,🆗 保留,13. Soggy Crossroads->13. 浸水的路口,13. Soggy Crossroads,13. 浸水的路口
